Date,Close,High,Low,Open,Volume
2025-03-18,162.22377014160156,165.9834327309709,158.3643909972819,165.5047537031862,24616800
2006-01-10,11.613045692443848,11.625159011492311,11.422198206843149,11.481035409735574,365247927
2024-01-05,136.36721801757812,137.7766452011386,135.83124463883706,137.32206211139567,15439500
2025-07-29,196.12661743164065,196.35627317873983,192.69194311869856,193.0014619032327,31891600
2025-05-08,155.32276916503906,156.97821934560366,153.67730129276063,155.49230101963664,38387500
2016-04-28,34.293792724609375,35.44267722719702,34.220842087526414,35.1493753041683,57346000
2013-12-12,26.450727462768555,26.771608758894786,26.42699493853059,26.688298814605066,64099363
2024-05-16,174.12405395507812,175.02728335356127,172.75433727159748,173.30024598195538,17247300
2006-04-05,10.086015701293944,10.248680808877236,9.958206320678634,10.091206717959952,538430634
2009-01-02,7.94342565536499,7.955786029027831,7.552335973663343,7.628971142290268,144961322
2023-07-31,132.11911010742188,132.8337515327045,131.14640961280955,132.01984846411025,18381900
2009-05-27,10.025941848754885,10.18168559419587,10.007400340703672,10.027920190179584,121826932
2015-12-23,37.23622131347656,37.42976936598357,36.923071635659646,37.39304604814513,31318000
2024-10-07,163.5669403076172,169.0493476678041,163.3082475274126,168.29315826093452,14034700
2009-06-10,10.694405555725098,10.82518056301902,10.547808548323196,10.784142753106886,134859599
2007-06-19,12.71437644958496,12.787056360304916,12.645898384658109,12.706960035575287,174864989
2024-02-08,146.12405395507812,146.51115007912992,145.3300063519672,145.87591502568085,18241300
2020-05-28,70.30917358398438,71.5056972334195,69.280390574892,69.32306974282896,33844000
2019-07-15,57.08882522583008,57.11264862267964,56.545900158911394,56.91612074386901,18076000
2010-06-17,12.362591743469238,12.505728053938933,12.278787688903726,12.44590357913157,79388456
2012-05-09,15.05893611907959,15.237671209383166,14.877482465998426,15.001336096942122,93501157
2021-10-11,137.81387329101562,139.7157617186635,137.77317814616356,138.75928193526627,16584000
2006-01-03,10.759422302246094,10.77029844764365,10.338913983386098,10.4452143426677,526815259
2025-06-27,177.9946746826172,178.56378642226113,172.4432642772778,174.3602970998626,74053100
2007-01-05,12.043935775756836,12.05159924540117,11.819466918973534,11.927993613842848,275914333
2019-06-20,55.15731048583984,55.589073566895024,54.82579725436416,55.58262171269389,25240000
2019-09-27,60.79850387573242,61.73795671603401,60.270462764163774,61.68783368353786,27078000
2019-02-28,55.57914352416992,55.96276757814939,55.13696056594894,55.15135228940827,30850000
2007-02-12,11.329493522644045,11.430850870429596,11.24865507909603,11.388577781702171,231042771
2021-05-19,114.57616424560548,114.9756642787799,112.33348604170752,112.37715722017664,19350000
2005-01-21,4.654513359069824,4.829539777503669,4.650558096154134,4.809267457715732,371724110
2021-06-22,126.05406951904295,126.3225560078602,125.08831328217012,125.50866066639676,20984000
2018-09-07,57.80792999267578,58.32554739399588,57.43001188941511,57.502220402893286,28026000
2005-11-22,10.295650482177734,10.31641643943884,10.04250515223841,10.102329624152851,385278727
2021-11-17,147.95233154296875,148.51214348862285,147.45705328506816,148.118095732704,15290000
2014-08-13,28.44695854187012,28.4578479399846,28.00004643580471,28.07725476739419,28784812
2008-09-08,10.381681442260742,11.197234289427636,10.322350127157703,11.174490934163106,362068052
2016-03-11,36.07046508789063,36.075428926387694,35.589324879517875,35.732003999338694,39416000
2019-05-17,57.682376861572266,58.5682308655447,57.56872729397723,57.988578693294606,24172000
2024-08-12,162.91468811035156,165.64732245401004,162.51722008897448,164.9467725573256,12435000
2007-11-07,18.11918067932129,18.47269424189755,17.876912391892464,18.32164738299361,332180444
2021-12-23,146.047119140625,147.46657244341813,145.8568954657204,145.9945047260853,13818000
2005-04-05,4.661682605743408,4.703461104611207,4.636960911568965,4.640916174390419,350777892
2004-11-19,4.187775611877441,4.202114326819459,4.116578515645506,4.180359198385845,352086780
2021-05-06,118.18112182617188,118.24861640060404,116.24504302548796,116.65705298910346,20618000
2016-03-29,36.96128463745117,37.08436209116153,36.16674481860839,36.4560748999865,38076000
2010-12-01,13.951425552368164,14.1299135976714,13.903219335404206,13.91805216317386,150726852
2009-12-30,15.394651412963867,15.394651412963867,15.27796807699839,15.2900813954349,58843737
2010-04-12,14.158591270446776,14.189988214005874,13.9976564955054,14.02559086800299,94448695
2022-08-04,117.98509979248048,118.61040716268364,116.83373153580266,117.41934334155404,15757700
2017-12-29,51.930511474609375,52.09428406610581,51.85606904335651,51.94639121402621,17750000
2017-03-15,42.04465866088867,42.115625270336174,41.7255531346855,42.0640142233651,27630000
2023-09-14,137.95530700683594,138.5111357144093,136.03966684123876,137.3597675943237,19064600
2009-08-11,11.221956253051758,11.303289757201725,11.183391843892808,11.215281953231436,68756755
2021-06-14,125.41139221191406,125.47045091033765,124.11610675138664,124.7339778092754,22550000
2006-10-16,10.426179885864258,10.61035307140452,10.416043961813203,10.573270999617076,173423607
2017-11-21,51.33944320678711,51.37021446123188,50.75210109983056,50.78460647935663,21940000
2016-06-21,34.537960052490234,34.87691714274564,34.342920200462395,34.660041702376354,29312000
2006-02-10,8.964164733886719,9.010888613081471,8.730055012161392,8.947849570462138,611222457
2013-01-17,17.584705352783203,17.79038469517134,17.57728799274973,17.742673539591046,88791570
2017-03-16,42.12307357788086,42.22580346373792,41.99156024103289,42.13548128228723,19552000
